  000006c0:  4d 20 e2 3f f8                                  TIP 0xf83fe220 (2)
  000006c5:  0a 00 00                                        TNT NT (2)
  000006c8:  4d c4 cf 2e f8                                  TIP 0xf82ecfc4 (2)
  000006cd:  08 00 00                                        TNT NN (2)
  000006d0:  4d 00 56 30 f8                                  TIP 0xf8305600 (2)
  000006d5:  06 00 00                                        TNT T (1)
  000006d8:  4d 16 d0 2e f8                                  TIP 0xf82ed016 (2)
  000006dd:  84                                              TNT NNNNTN (6)
  000006de:  0c 00                                           TNT TN (2)
  000006e0:  4d 6f 7d 2d f8                                  TIP 0xf82d7d6f (2)
  000006e5:  04 00                                           TNT N (1)
  000006e7:  6d 96 e1 ce 75 b3 55 00                         TIP 0x55b375cee196 (3)
  000006f7:  6d 40 b8 38 f8 53 7f 00                         TIP 0x7f53f838b840 (3)
  00000700:  10                                              TNT NNN (3)
  00000701:  59 9b                                           MTC 0x9b
  00000703:  01                                              TIP.PGD no ip
  00000704:  59 9c                                           MTC 0x9c
  00000706:  59 9d                                           MTC 0x9d
  00000708:  59 9e                                           MTC 0x9e
  0000070a:  59 9f                                           MTC 0x9f
  0000070c:  59 a0                                           MTC 0xa0
  0000070e:  59 a1                                           MTC 0xa1
  00000710:  59 a2                                           MTC 0xa2
  00000712:  59 a3                                           MTC 0xa3
  00000714:  59 a4                                           MTC 0xa4
  00000716:  59 a5                                           MTC 0xa5
  00000718:  59 a6                                           MTC 0xa6
  0000071a:  59 a7                                           MTC 0xa7
  0000071c:  59 a8 00 00                                     MTC 0xa8
  00000720:  59 cf 00 00 00 00                               MTC 0xcf
  00000726:  19 4a e7 c4 a8 56 06 00                         TSC 0x656a8c4e74a
  00000736:  02 73 ce ac 00 62 00 00                         TMA CTC 0xacce FC 0x62
  00000740:  02 03 2e 00                                     CBR 0x2e
  00000744:  59 d0                                           MTC 0xd0
